Titolo,Artista,Testo
Mi Vendo,Renato Zero,"Faccio in fretta un altro inventario...
Smonto la baracca e via!
Cambio zona, itinerario,
Il mio indirizzo è la follia!
C'è un infelice, ovunque vai...
Voglio allargare il giro dei clienti miei...

Io vendo desideri e speranze,

In confezione spray.

Seguimi io sono la notte,

Il mistero, l'ambiguità...

Io creo gli incontri... Io sono la sorte!

Quell'attimo di vanità...

Incredibile, se vuoi...

Seguimi e non ti pentirai!

Sono io la chiave dei tuoi problemi,

Guarisco i tuoi mali, vedrai!!!

Mi vendo,

La grinta che non hai!

In cambio del tuo inferno,

Ti do due ali, sai!

Mi vendo,

Un'altra identità!

Ti do quello che il mondo...

Distratto non ti da!

Io mi vendo, e già !

A buon prezzo, si sa!

Ho smarrito, un giorno, il mio circo,

Ma il circo vive senza di me!

Non è l'anima tua che io cerco,

Io sono solo più di te!

Nell'arco di una luna io,

Farò di te un baro oppure un re...

Sono io la chiave dei tuoi problemi,

Guarisco i tuoi mali, vedrai!!!

Mi vendo, la grinta che non hai!

In cambio del tuo inferno,

Ti do due ali, sai!

Si...

Ti vendo,

Un'altra identità!

Ti do quello che il mondo,

Distratto non ti da...

Io mi vendo, e già!

A buon prezzo, si sa!

Seguimi!"
Mia,Gatto Panceri,"Quanto ti ho sentita mia
quando siam rimasti cinque giorni a letto
chiusi dentro casa mia
quanto ti ho sentita mia
quando ti ho spogliata e t'ho messo il pigiama
quanto ti ho sentita mia

dentro a quel vagone mentre il treno

che fischiava ci portava via

e quanto ti ho sentita mia

lungo strade assolate di periferia

con le gomme bucate e le bici parcheggiate

dietro un grosso cespuglio d estate

quanto ti ho sentita mia

quando mi chiedevi prima di un esame

di provarti a interrogare

quanto ti ho sentita mia

quando ti ho insegnato sopra il ghiaccio a pattinare

e quanto ti ho sentita mia

in quel vecchio ferroso letto di corsia

mi stringevi la mano eri sotto anestesia

io pregavo e per te stavo male

Tu sei mia...quando vuoi

ma sei mia, mia

tu vai via...tornerai

perchè sei mia

quanto tu non lo sai

tu sei mia mia mia, mia mia mia, mia mia mia o no

tu mi ami ami ami, ami ami ami, ami ami ami o no

tu sei mia mia mia, mia mia mia, mia mia mia o no

tu mi ami ami ami, ami ami ami, ami ami ami o no

e quanto ti ho sentita mia

anche quando mi hai detto ""io devo andare via""

e hai gridato ""e finita"" ma era una bugia

prima o poi tu dovrai ritornare

perché sei mia... quando vuoi

ma sei mia, mia

tu vai via...tornerai

perché sei mia

mia... dove vai che sei mia

quanto tu non lo sai

quanto tu non lo sai

tanto... tu non lo sai"
Mille,Fedez,"Quello che hai messo nel rossetto, mi fa effetto
Mi hai fatto un altro dispetto, lo fai spesso
E mi chiudo in me stesso, e balbetto
Sì ma quanto sono stronzo, mi detesto
Ma tu non ci resti male, che ognuno ha le sue
Si vive una volta sola, ma tu vali due

Vorrei darti un bacetto, ma di un etto

Se ti va ne ho ancora una dentro il pacchetto

Mi hai fatto bere come un vandalo e sono le tre

Si è rotta l'aria del mio bungalow, vengo da te

Però mi dici non salire, che è meglio di no

Se cambi idea mi fa impazzire, dai baby come on

Scendi divina dai gradini, ma non te la tiri

Coi tatuaggi dei latini con i gelatini

Non dire che non te l'ho detto, esco

Però ritorno presto ti prometto

Quando sei arrivato ti stavo aspettando

Con due occhi più grandi del mondo

Quante stelle ci girano intorno, se mi porti a ballare

Labbra rosso Coca Cola

Dimmi un segreto all'orecchio stasera

Hai risolto un bel problema

E va bene così

Ma poi me ne restano mille

Poi me ne restano mille

Tre volte di fila, beh

Sei sicura che quello che ho preso era solo aspirina, seh

La notte continua

Mi avevi detto solo un altro, ma sono già tre

Cosi sfacciato che domando se sali da me

Sì spogliami e facciamo un twist, please

Stanotte questa casa sembra Grease

Quando sei arrivato ti stavo aspettando

Con due occhi più grandi del mondo

Quante stelle ci girano intorno, se mi porti a ballare

Labbra rosso Coca Cola

Dimmi un segreto all'orecchio stasera

Hai risolto un bel problema

E va bene così

Ma poi me ne restano mille

Poi me ne restano mille

Sa-sa-sabato sera suona il cla-cla-cla, ca-ca-cabrio nera

Siamo in macchina una stella si tuffa e viene giù

Poi me ne restano mille

Sa-sa-sabato sera suona il cla-cla-cla, ca-ca-cabrio nera

Siamo in macchina una stella si tuffa e viene giù

Labbra rosso Coca Cola

Dimmi un segreto all'orecchio stasera

Hai risolto un bel problema

E va bene così

Ma poi me ne restano mille

Poi me ne restano mille

Mille"
Million Reasons,Lady Gaga,"You're giving me a million reasons to let you go
You're giving me a million reasons to quit the show
You're givin' me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

If I had a highway, I would run for the hills

If you could find a dry way, I'd forever be still

But you're giving me a million reasons

Give me a million reasons

Givin' me a million reasons

About a million reasons

I bow down to pray

I try to make the worst seem better

Lord, show me the way

To cut through all his worn out leather

I've got a hundred million reasons to walk away

But baby, I just need one good one to stay

Head stuck in a cycle, I look off and I stare

It's like that I've stopped breathing, but completely aware

'Cause you're giving me a million reasons

Give me a million reasons

Givin' me a million reasons

About a million reasons

And if you say something that you might even mean

It's hard to even fathom which parts I should believe

'Cause you're giving me a million reasons

Give me a million reasons

Givin' me a million reasons

About a million reasons

I bow down to pray

I try to make the worst seem better

Lord, show me the way

To cut through all his worn out leather

I've got a hundred million reasons to walk away

But baby, I just need one good one to stay

Oh baby I'm bleedin', bleedin', hey

Can't you give me what I'm needin', needin'

Every heartbreak makes it hard to keep the faith

But baby, I just need one good one

Good one, good one, good one, good one, good one

When I bow down to pray

I try to make the worst seem better

Lord, show me the way

To cut through all his worn out leather

I've got a hundred million reasons to walk away

But baby, I just need one good one, good one

Tell me that you'll be the good one, good one

Baby, I just need one good one to stay"
Minuetto,Mia Martini,"E' un'incognita ogni sera mia...
Un'attesa, pari a un'agonia. Troppe volte vorrei dirti: no!
E poi ti vedo e tanta forza non ce l'ho!
Il mio cuore si ribella a te, ma il mio corpo no!
Le mani tue, strumenti su di me,
che dirigi da maestro esperto quale sei...

E vieni a casa mia, quando vuoi, nelle notti più che mai,

dormi qui, te ne vai, sono sempre fatti tuoi.

Tanto sai che quassù male che ti vada avrai

tutta me, se ti andrà per una notte...

... E cresce sempre più la solitudine,

nei grandi vuoti che mi lasci tu!

Rinnegare una passione no,

ma non posso dirti sempre sì e sentirmi piccola così

tutte le volte che mi trovo qui di fronte a te.

Troppo cara la felicità per la mia ingenuità.

Continuo ad aspettarti nelle sere per elemosinare amore...

So - no sempre tua, quando vuoi, nelle notti più che mai,

dormi qui, te ne vai, sono sempre fatti tuoi.

Tanto sai che quassù male che ti vada avrai

tutta me, se ti andrà, per una notte... sono tua...

... la notte a casa mia, sono tua, sono mille volte tua...

E la vita sta passando su noi, di orizzonti non ne vedo mai!

Ne approfitta il tempo e ruba come hai fatto tu,

il resto di una gioventù che ormai non ho più...

E continuo sulla stessa via, sempre ubriaca di malinconia,

ora ammetto che la colpa forse è solo mia,

avrei dovuto perderti, invece ti ho cercato.

Minuetto suona per noi, la mia mente non si ferma mai.

Io non so l'amore vero che sorriso ha...

Pensieri vanno e vengono, la vita è così..."
Monna Lisa,Ivan Graziani,"Sì, vorrei rubarla
Vorrei rubare quello che mi apparteneva
Sì, vorrei rubarla
E nasconderla in una cassa di patate, di patate
Il custode parigino
Che spiava le bambine dell'asilo
Ora ha la bocca
Piena di biglietti del museo, del museo

Lassù una civetta urla
Ed io ancora non ho iniziato il mio lavoro ora
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa

La scuola è una gran cosa
E soprattutto se ti insegnano ad amare
I capolavori del passato
Però è un peccato che tu non li puoi vedere né toccare
E la cultura mi sorride
Fra le ombre e le tende di velluto
Ed io sto torturando
La tela col rasoio e con le unghie, con le unghie

Il custode si lamenta
Probabilmente vuole un'altra botta in testa ora
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa

Di sotto stanno urlando
Certamente mi dicono di uscire
Il francese non lo afferro
Per questo me ne sto ancora un poco qui a pensare, a pensare

Il custode si lamenta
Probabilmente vuole un'altra botta in testa ora
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa, Monna Lisa, Lisa
Monna Lisa"
Moonlight Shadow,Mike Oldfield,"The Last That Ever She Saw Him
Carried Away By A Moonlight Shadow
He Passed On Worried And Warning
Carried Away By A Moonlight Shadow
Lost In A Riddle That Saturday Night
Far Away On The Other Side

He Was Caught In The Middle Of A Desperate Fight

And She Couldn't Find How To Push Through

The Trees That Whisper In The Evening

Carried Away By A Moonlight Shadow

Sing A song Of Sorrow And Grieving

Carried Away By A Moonlight Shadow

All She Saw Was The Silhouette Of A Gun

Far Away On The Other Side

He Was Shot Six Times By A Man On The Run

And She Couldn't Find How To Push Through

I Stay, I Pray

See You In Heaven Far Away

I Stay, I Pray

See You In Heaven One Day

Four A.M. In The Morning

Carried Away By A Moonlight Shadow

I Watched Your Vision Forming

Carried Away By A Moonlight Shadow

Stars Moved Slowly In The Silvery Night

Far Away On The Other Side

Will You Come To Talk To Me This Night

But She Couldn't Find How To Push Through

I Stay, I Pray

See You In Heaven Far Away

I Stay, I Pray

See You In Heaven One Day

Far Away On The Other Side

Caught In The Middle Of A Hundred And Five

The Night Was Heavy And The Air Was Alive

But She Couldn't Find How To Push Through

I Stay, I Pray

See You In Heaven Far Away

I Stay, I Pray

See You In Heaven One Day

I Stay, I Pray

See You In Heaven Far Away

I Stay, I Pray

See You In Heaven One Day

I Stay, I Pray

See You In Heaven Far Away

I Stay, I Pray

See You In Heaven One Day

The Last Time Ever She'd See Him

Carried Away By A Moonlight Shadow

The Crowd Gather Just Beneath Him

Carried Away By A Moonlight Shadow

Caught In The Middle Of A Hundred And Five

Far Away On The Other Side

The Night Was Heavy And The Air Was Alive

But She Couldn't Find How To Push Through

Carried Away By A Moonlight Shadow

Carried Away By A Moonlight Shadow

Far Away On The Other Side

But She Couldn't Find How To Push Through"
Mr Tambourine man,Bob Dylan,"Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you.
Though I know that evenin's empire has returned into sand,

Vanished from my hand,

Left me blindly here to stand but still not sleeping.

My weariness amazes me, I'm branded on my feet,

I have no one to meet

And the ancient empty street's too dead for dreaming.

Hey! Mr. Tambourine Man, play a song for me,

I'm not sleepy and there is no place I'm going to.

Hey! Mr. Tambourine Man, play a song for me,

In the jingle jangle morning I'll come followin' you.

Take me on a trip upon your magic swirlin' ship,

My senses have been stripped, my hands can't feel to grip,

My toes too numb to step, wait only for my boot heels

To be wanderin'.

I'm ready to go anywhere, I'm ready for to fade

Into my own parade, cast your dancing spell my way,

I promise to go under it.

Hey! Mr. Tambourine Man, play a song for me,

I'm not sleepy and there is no place I'm going to.

Hey! Mr. Tambourine Man, play a song for me,

In the jingle jangle morning I'll come followin' you.

Though you might hear laughin', spinnin', swingin' madly across the sun,

It's not aimed at anyone, it's just escapin' on the run

And but for the sky there are no fences facin'.

And if you hear vague traces of skippin' reels of rhyme

To your tambourine in time, it's just a ragged clown behind,

I wouldn't pay it any mind, it's just a shadow you're

Seein' that he's chasing.

Hey! Mr. Tambourine Man, play a song for me,

I'm not sleepy and there is no place I'm going to.

Hey! Mr. Tambourine Man, play a song for me,

In the jingle jangle morning I'll come followin' you.

Then take me disappearin' through the smoke rings of my mind,

Down the foggy ruins of time, far past the frozen leaves,

The haunted, frightened trees, out to the windy beach,

Far from the twisted reach of crazy sorrow.

Yes, to dance beneath the diamond sky with one hand waving free,

Silhouetted by the sea, circled by the circus sands,

With all memory and fate driven deep beneath the waves,

Let me forget about today until tomorrow.

Hey! Mr. Tambourine Man, play a song for me,

I'm not sleepy and there is no place I'm going to.

Hey! Mr. Tambourine Man, play a song for me,

In the jingle jangle morning I'll come followin' you."
Musica Leggerissima,Colapesce & Dimartino,"Se fosse un'orchestra a parlare per noi
Sarebbe più facile cantarsi un addio
Diventare adulti sarebbe un crescendo
Di violini e guai
I tamburi annunciano un temporale
Il maestro è andato via
Metti un po' di musica leggera perché ho voglia di niente
Anzi leggerissima
Parole senza mistero
Allegre ma non troppo
Metti un po' di musica leggera nel silenzio assordante
Per non cadere dentro al buco nero
Che sta ad un passo da noi, da noi
Più o meno
Se bastasse un concerto per far nascere un fiore
Tra i palazzi distrutti dalle bombe nemiche
Nel nome di un dio
Che non esce fuori col temporale
Il maestro è andato via
Metti un po' di musica leggera perché ho voglia di niente
Anzi leggerissima
Parole senza mistero
Allegre ma non troppo
Metti un po' di musica leggera nel silenzio assordante
Per non cadere dentro al buco nero
Che sta ad un passo da noi, da noi
Rimane in sottofondo dentro ai supermercati
La cantano i soldati, i figli alcolizzati
I preti progressisti
La senti nei quartieri assolati che rimbomba leggera (leggerissima)
Si annida nei pensieri in palestra
Tiene in piedi una festa anche di merda
Ripensi alla tua vita
Alle cose che hai lasciato cadere nello spazio
Della tua indifferenza animale
Metti un po' di musica leggera
Metti un po' di musica leggera
Metti un po' di musica
Metti un po' di musica
Metti un po' di musica leggera
Metti un po' di musica leggera perché ho voglia di niente
Anzi leggerissima
Parole senza mistero
Allegre ma non troppo
Metti un po' di musica leggera nel silenzio assordante
Per non cadere dentro al buco nero
Che sta ad un passo da noi, da noi
Più o meno"
My Sharona,The Knack,"Ooh my little pretty one, pretty one.
When you gonna give me some time, Sharona?
Ooh you make my motor run, my motor run.
Gun it comin' off the line Sharona
Never gonna stop, give it up.
Such a dirty mind. Always get it up for the touch

of the younger kind. My my my i yi woo. M M M My Sharona...

Come a little closer huh, ah will ya huh.

Close enough to look in my eyes, Sharona.

Keeping it a mystery gets to me

Running down the length of my thighs, Sharona

Never gonna stop, give it up. Such a dirty mind.

Always get it up for the touch

of the younger kind. My my my i yi woo. M M M My Sharona...

When you gonna give it to me, give it to me.

It is just a matter of time Sharona

Is it just destiny, destiny?

Or is it just a game in my mind, Sharona?

Never gonna stop, give it up.

Such a dirty mind. Always get it up for the touch

of the younger kind. My my my i yi woo. M M M My Sharona..."
